symbol,name,sector
LT,Larsen & Toubro Ltd.,Construction
LAURUSLABS,Laurus Labs Ltd.,Healthcare
LENSKART,Lenskart Solutions Ltd.,Consumer Services
LODHA,Lodha Developers Ltd.,Realty
LUPIN,Lupin Ltd.,Healthcare
MRF,MRF Ltd.,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MANKIND,Mankind Pharma Ltd.,Healthcare
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MFSL,Max Financial Services Ltd.,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology
MCX,Multi Commodity Exchange of India Ltd.,Financial Services
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NHPC,NHPC Ltd.,Power
NMDC,NMDC Ltd.,Metals & Mining
NTPC,NTPC Ltd.,Power
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
OBEROIRLTY,Oberoi Realty Ltd.,Realty
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Ltd.,Financial Services
OFSS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR,PB Fintech Ltd.,Financial Services
PIIND,PI Industries Ltd.,Chemicals
PAGEIND,Page Industries Ltd.,Textiles
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,Information Technology
PHOENIXLTD,Phoenix Mills Ltd.,Realty
PIDILITIND,Pidilite Industries Ltd.,Chemicals
POLYCAB,Polycab India Ltd.,Capital Goods
PFC,Power Finance Corporation Ltd.,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,Power
PREMIERENE,Premier Energies Ltd.,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,Realty
PNB,Punjab National Bank,Financial Services
RECLTD,REC Ltd.,Financial Services
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods
RVNL,Rail Vikas Nigam Ltd.,Construction
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
SRF,SRF Ltd.,Chemicals
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SHREECEM,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services
ENRIN,Siemens Energy India Ltd.,Capital Goods
SIEMENS,Siemens Ltd.,Capital Goods
SOLARINDS,Solar Industries India Ltd.,Chemicals
SBIN,State Bank of India,Financial Services
SAIL,Steel Authority of India Ltd.,Metals & Mining
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
SUPREMEIND,Supreme Industries Ltd.,Capital Goods
SUZLON,Suzlon Energy Ltd.,Capital Goods
SWIGGY,Swiggy Ltd.,Consumer Services
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components
TATACAP,Tata Capital Ltd.,Financial Services
TATACOMM,Tata Communications Ltd.,Telecommunication
TCS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services
TMCV,Tata Motors Ltd.,Capital Goods
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TECHM,Tech Mahindra Ltd.,Information Technology
TITAN,Titan Company Ltd.,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
TRENT,Trent Ltd.,Consumer Services
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components
UPL,UPL Ltd.,Chemicals
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
VMM,Vishal Mega Mart Ltd.,Consumer Services
IDEA,Vodafone Idea Ltd.,Telecommunication
VOLTAS,Voltas Ltd.,Consumer Durables
WAAREEENER,Waaree Energies Ltd.,Capital Goods
WIPRO,Wipro Ltd.,Information Technology
YESBANK,Yes Bank Ltd.,Financial Services
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare
